NRO_CLIENTE,MONTO,FECHA,TIPO_OPERACION
100000,46.05,2026-05-10,PAG
100001,66.33,2026-05-10,PAG
100002,372.98,2026-05-10,RET
100003,127.2,2026-05-10,DEP
100003,296.35,2026-05-10,RET
100003,252.46,2026-05-10,DEP
100004,213.06,2026-05-10,DEP
100004,16.29,2026-05-10,PAG
100005,145.95,2026-05-10,RET
100006,346.38,2026-05-10,RET
100007,390.12,2026-05-10,PAG
100007,374.27,2026-05-10,PAG
100008,180.71,2026-05-10,PAG
100008,218.02,2026-05-10,PAG
100009,241.05,2026-05-10,PAG
100010,300.82,2026-05-10,PAG
100010,176.82,2026-05-10,PAG
100011,257.61,2026-05-10,RET
100011,364.02,2026-05-10,RET
100012,218.17,2026-05-10,DEP
100013,179.53,2026-05-10,RET
100014,167.82,2026-05-10,DEP
100015,124.91,2026-05-10,DEP
100016,211.71,2026-05-10,DEP
100016,140.83,2026-05-10,RET
100017,216.36,2026-05-10,PAG
100017,369.22,2026-05-10,RET
100018,123.35,2026-05-10,RET
100018,320.2,2026-05-10,PAG
100018,96.33,2026-05-10,DEP
100019,221.54,2026-05-10,DEP
100020,167.64,2026-05-10,PAG
100021,177.66,2026-05-10,DEP
100021,69.49,2026-05-10,PAG
100022,260.17,2026-05-10,RET
100023,92.13,2026-05-10,DEP
100024,171.78,2026-05-10,DEP
100024,209.06,2026-05-10,PAG
100025,323.99,2026-05-10,PAG
100025,112.39,2026-05-10,PAG
100026,298.46,2026-05-10,RET
100027,168.1,2026-05-10,DEP
100028,77.05,2026-05-10,RET
100029,48.59,2026-05-10,RET
100029,249.0,2026-05-10,RET
100030,281.69,2026-05-10,RET
100031,79.18,2026-05-10,DEP
100031,65.1,2026-05-10,PAG
100031,13.74,2026-05-10,DEP
100032,116.44,2026-05-10,DEP
100033,287.5,2026-05-10,PAG
100034,8.24,2026-05-10,DEP
100034,64.52,2026-05-10,RET
100035,90.79,2026-05-10,RET
100035,128.07,2026-05-10,RET
100036,399.2,2026-05-10,RET
100037,280.29,2026-05-10,DEP
100037,135.45,2026-05-10,DEP
100038,27.14,2026-05-10,RET
100038,33.2,2026-05-10,RET
100039,76.73,2026-05-10,RET
100040,327.81,2026-05-10,DEP
100041,53.17,2026-05-10,PAG
100041,103.34,2026-05-10,RET
100042,102.63,2026-05-10,DEP
100042,83.68,2026-05-10,PAG
100043,309.54,2026-05-10,PAG
100043,268.07,2026-05-10,DEP
100044,191.77,2026-05-10,PAG
100045,384.68,2026-05-10,RET
100045,67.65,2026-05-10,PAG
100045,21.66,2026-05-10,PAG
100046,210.77,2026-05-10,RET
100046,195.09,2026-05-10,RET
100046,83.5,2026-05-10,DEP
100047,346.14,2026-05-10,DEP
100048,389.44,2026-05-10,DEP
100048,255.0,2026-05-10,RET
100049,10.95,2026-05-10,RET
100050,235.96,2026-05-10,RET
100050,316.71,2026-05-10,DEP
100050,387.69,2026-05-10,PAG
100051,314.47,2026-05-10,RET
100051,276.92,2026-05-10,DEP
100052,151.7,2026-05-10,DEP
100052,103.25,2026-05-10,RET
100053,41.1,2026-05-10,PAG
100054,138.68,2026-05-10,PAG
100055,28.72,2026-05-10,RET
100055,259.61,2026-05-10,PAG
100056,216.86,2026-05-10,DEP
100056,54.7,2026-05-10,DEP
100056,130.11,2026-05-10,PAG
100057,316.48,2026-05-10,RET
100057,323.18,2026-05-10,RET
100058,294.61,2026-05-10,DEP
100059,277.25,2026-05-10,RET
100060,291.14,2026-05-10,RET
100060,359.97,2026-05-10,RET
100061,284.12,2026-05-10,PAG
100061,121.41,2026-05-10,PAG
100062,198.59,2026-05-10,PAG
100062,78.72,2026-05-10,RET
100063,132.85,2026-05-10,RET
100063,113.75,2026-05-10,PAG
100063,366.22,2026-05-10,PAG
100064,68.34,2026-05-10,PAG
100064,66.24,2026-05-10,RET
100064,328.67,2026-05-10,PAG
100065,150.01,2026-05-10,DEP
100065,311.49,2026-05-10,PAG
100066,154.72,2026-05-10,DEP
100067,353.76,2026-05-10,PAG
100067,343.45,2026-05-10,PAG
100068,99.32,2026-05-10,PAG
100068,30.02,2026-05-10,PAG
100069,328.52,2026-05-10,DEP
100070,212.01,2026-05-10,RET
100071,307.46,2026-05-10,DEP
100071,247.15,2026-05-10,RET
100071,166.87,2026-05-10,RET
100072,48.63,2026-05-10,PAG
100073,265.26,2026-05-10,DEP
100073,334.9,2026-05-10,DEP
100074,75.56,2026-05-10,DEP
100074,84.82,2026-05-10,RET
100075,80.69,2026-05-10,DEP
100075,230.55,2026-05-10,RET
100076,264.88,2026-05-10,PAG
100076,251.47,2026-05-10,PAG
100077,106.1,2026-05-10,RET
100077,92.19,2026-05-10,PAG
100078,33.0,2026-05-10,DEP
100078,264.02,2026-05-10,DEP
100079,189.88,2026-05-10,PAG
100080,28.98,2026-05-10,PAG
100081,298.67,2026-05-10,RET
100081,329.7,2026-05-10,PAG
100082,28.03,2026-05-10,PAG
100083,110.0,2026-05-10,DEP
100084,295.05,2026-05-10,RET
100085,35.78,2026-05-10,DEP
100085,384.43,2026-05-10,DEP
100086,44.98,2026-05-10,DEP
100087,215.01,2026-05-10,DEP
100088,81.28,2026-05-10,PAG
100089,103.26,2026-05-10,PAG
100090,379.26,2026-05-10,PAG
100091,300.93,2026-05-10,RET
100092,299.71,2026-05-10,PAG
100092,232.74,2026-05-10,PAG
100093,186.19,2026-05-10,PAG
100093,173.69,2026-05-10,DEP
