NRO_CLIENTE,SALDO_AHORRO,MONTO,FECHA
100000,2128.9362352581684,157.21727566437806,2026-May-15
100001,1343.1144669794728,74.09261090964881,2026-May-15
100002,4361.865983268237,130.29029631636902,2026-May-15
100003,2216.921518205334,19.54049307693882,2026-May-15
100004,4060.9869818664015,125.65086450057042,2026-May-15
100005,1390.677698583638,39.00406620011533,2026-May-15
100006,119.25367496886723,167.81083177174574,2026-May-15
100007,2527.7500452244276,77.5353980802909,2026-May-15
100008,591.1184575501329,63.49523391835719,2026-May-15
100009,3796.442182072057,169.76890557518215,2026-May-15
100010,1452.7681667401107,19.52736438364394,2026-May-15
100011,2273.8636683570458,85.35567187352551,2026-May-15
100012,526.4644689486158,80.30067270925596,2026-May-15
100013,1504.630317391538,64.11207110741466,2026-May-15
100014,3929.3021919670027,183.23332308028063,2026-May-15
100015,842.7807683213654,152.67639476817723,2026-May-15
100016,3271.081849522091,22.145401196468367,2026-May-15
100017,4595.386678742056,145.79061539264129,2026-May-15
100018,3431.2001228128292,110.18683529447085,2026-May-15
100019,4074.0062775319116,181.16489993630006,2026-May-15
100020,633.9609835891874,69.45966729618812,2026-May-15
100021,1328.5859474100669,119.09077992582075,2026-May-15
100022,4483.240375978896,105.14350220078734,2026-May-15
100023,3604.0175067286373,103.01657218324509,2026-May-15
100024,3233.813749248825,96.6600259082704,2026-May-15
100025,3352.45700699633,49.069600351133445,2026-May-15
100026,2129.582716092753,153.58488527355462,2026-May-15
100027,318.3274949265008,95.75384622046485,2026-May-15
100028,3943.7635561465722,192.1180922504951,2026-May-15
100029,3425.694857455234,59.553601166627494,2026-May-15
100030,2416.741874152351,139.72132952913782,2026-May-15
100031,4508.8221153044615,188.7362451314306,2026-May-15
100032,1747.1823584269844,136.0570813730576,2026-May-15
100033,1542.176546733056,175.541852447305,2026-May-15
100034,4376.70199288927,167.22138235383116,2026-May-15
100035,4005.239508319029,78.42236594291073,2026-May-15
100036,2623.401072176889,124.02354858850434,2026-May-15
100037,740.6002233434649,39.689654564157564,2026-May-15
100038,1153.850210178757,111.7499177121639,2026-May-15
100039,3315.5171530031525,53.78017464472407,2026-May-15
100040,1986.7020654180171,151.30999484096466,2026-May-15
100041,4198.7186391632595,110.33110015950368,2026-May-15
100042,4754.7795457278,88.13319890001549,2026-May-15
100043,4047.6209338470994,61.071448271725735,2026-May-15
100044,1949.97257267823,199.7527115498445,2026-May-15
100045,3964.563503233978,23.62499896813721,2026-May-15
100046,1822.064200006349,18.276529308759805,2026-May-15
100047,918.7904300516061,51.278906093834266,2026-May-15
100048,263.6267038427012,194.50376713928574,2026-May-15
100049,1990.0118925289983,196.05525198079704,2026-May-15
100050,4527.440588116681,134.43626960670582,2026-May-15
100051,1271.0342800028147,177.2202667692169,2026-May-15
100052,1111.9145081559416,50.65272885975112,2026-May-15
100053,4852.121847681097,194.68799789355847,2026-May-15
100054,222.52015296790137,37.12912152651728,2026-May-15
100055,3950.332536929396,29.213785754515072,2026-May-15
100056,1674.7127831302648,31.32019245698185,2026-May-15
100057,283.6909886613307,118.8943054217873,2026-May-15
100058,4597.23244702696,158.38513613642994,2026-May-15
100059,784.2474180269597,79.66676379618029,2026-May-15
100060,2803.7184902559075,195.80023767936405,2026-May-15
100061,1442.865616404784,92.5398262424826,2026-May-15
100062,419.44473070498606,38.585224646911094,2026-May-15
100063,344.62017975055755,98.53368215536598,2026-May-15
100064,666.2278242980601,139.01706143026357,2026-May-15
100065,449.6983680579622,168.12289829583196,2026-May-15
100066,3826.734766047622,97.16597509175266,2026-May-15
100067,2479.274391188803,122.78529694934183,2026-May-15
100068,1780.1712476100004,60.79549531018214,2026-May-15
100069,2150.0076596468352,132.72414001704766,2026-May-15
100070,4651.839004305854,197.3346693505653,2026-May-15
100071,4562.683882416922,19.32017879168083,2026-May-15
100072,3606.814752600627,178.44082743398187,2026-May-15
100073,4434.94364936627,116.83367552582934,2026-May-15
100074,1666.2753351793615,57.89874531683699,2026-May-15
100075,1967.435697440586,191.429044901759,2026-May-15
100076,3107.1896910857176,101.8373175811908,2026-May-15
100077,3155.7671417565944,73.02114781794327,2026-May-15
100078,2460.3292062604705,44.48454937145982,2026-May-15
100079,2063.223457345971,56.4459199487658,2026-May-15
100080,4932.283526882607,168.24131790237408,2026-May-15
100081,4123.505767976849,126.7379017702615,2026-May-15
100082,2231.4029696514217,183.51666770278004,2026-May-15
100083,3663.7331384738854,54.074005909979306,2026-May-15
100084,1420.8522969370515,33.01632903129128,2026-May-15
100085,590.8296985629164,11.156630885362102,2026-May-15
100086,1826.9120252084292,106.49378714703882,2026-May-15
100087,2074.566720604632,199.67831677257774,2026-May-15
100088,181.03191034728692,142.0434010755414,2026-May-15
100089,4092.4808080158905,68.59497247337775,2026-May-15
100090,1860.0476717069894,176.6031307749726,2026-May-15
100091,2944.0490123227205,158.52723053771234,2026-May-15
100092,462.4196176276842,12.928881554542459,2026-May-15
100093,957.4844608778615,165.20349130279428,2026-May-15
100094,4459.499254105044,67.10008387531423,2026-May-15
100095,3082.5688866257237,38.43795827088421,2026-May-15
100096,4756.391845835379,53.00285955004417,2026-May-15
100097,4993.875168517453,99.03016283127641,2026-May-15
100098,1922.1145651321624,90.7249061429221,2026-May-15
100099,1564.1350140080456,64.88858688110308,2026-May-15
100100,4305.944670279574,42.72148121933621,2026-May-15
100101,4993.1959924835255,154.82385003201216,2026-May-15
100102,3185.242047739041,198.12085890963425,2026-May-15
100103,3996.1895403064595,157.78040027974117,2026-May-15
100104,3930.554708194845,66.22802385759283,2026-May-15
100105,1841.16457027578,56.51370266830534,2026-May-15
100106,2913.9248632597273,51.35651645252827,2026-May-15
100107,4181.979012194646,35.97206415291689,2026-May-15
100108,3471.7579936791717,114.75280444153724,2026-May-15
100109,203.70268851198747,125.02607067113539,2026-May-15
100110,1749.8577775979143,144.04550552599608,2026-May-15
100111,807.9309133135662,139.2405404773969,2026-May-15
100112,1241.5638391823916,65.54332914384267,2026-May-15
100113,4536.8984397074955,72.75909102540083,2026-May-15
100114,280.77711566276395,139.4877617340442,2026-May-15
100115,1177.0234886134263,76.39505174888939,2026-May-15
100116,1616.8898259673342,50.39840602766947,2026-May-15
100117,3122.731952635335,81.12386920238052,2026-May-15
100118,2717.098281420741,61.69598993981575,2026-May-15
100119,1169.520465981592,26.779417031529782,2026-May-15
100120,904.7812293934569,167.72639143256418,2026-May-15
100121,1260.3103695209822,172.0911639398369,2026-May-15
100122,2562.3951708381123,51.7525570317071,2026-May-15
100123,1428.7711499848967,22.306717909788333,2026-May-15
100124,4743.252257877839,150.37721309672412,2026-May-15
100125,2372.939585001353,50.190438914048606,2026-May-15
100126,388.1004810687216,84.75274299300345,2026-May-15
100127,3673.4053885995036,22.18569792510282,2026-May-15
100128,1711.341912224049,52.991221104102685,2026-May-15
100129,3302.095767085413,160.6514328826308,2026-May-15
100130,1470.0124155638368,162.83532491388834,2026-May-15
100131,2896.6443344932673,49.346116728664974,2026-May-15
100132,3883.547273556577,73.823630570271,2026-May-15
100133,4647.242834695315,35.505299627811276,2026-May-15
100134,1379.5230077220776,24.092799754135253,2026-May-15
100135,1740.7990598950078,198.5126257451978,2026-May-15
100136,2374.9054594011045,134.56285073651947,2026-May-15
100137,4643.156704906345,112.99833674768057,2026-May-15
100138,4516.7955983722195,155.44471507700692,2026-May-15
100139,540.4035724931264,169.61466034066757,2026-May-15
100140,746.4561461936731,163.27580592849824,2026-May-15
100141,2527.9949689201276,13.142495365076556,2026-May-15
